"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"H1-6",-0.331569676237111,0.223495507147163,-0.704313907272806,0.495701559045215,0.996260879005333,-5.90611669286366,0.00162692314545418,0.304779715180649,"Not significant","P22492",-0.0434716556221247,12,"small_vessel_occlusion"
"SEZ6L2",0.212713095549063,0.0699164147178332,0.703193971229745,0.496372563226538,0.996260879005333,-5.93890389444787,0.00162692314545418,0.304192231944915,"Not significant","Q6UXD5",0.22248039330755,12,"small_vessel_occlusion"
"CASP10",0.246626552098884,0.0375447037707393,0.702486703822052,0.496796603229387,0.996260879005333,-5.94160933173242,0.00162692314545418,0.303821382243265,"Not significant","Q92851",0.243554137766893,12,"small_vessel_occlusion"
"GZMB",-0.241049013249111,0.0419624298810959,-0.702394432985869,0.496851940144482,0.996260879005333,-5.9416740876831,0.00162692314545418,0.30377300997511,"Not significant","P10144",-0.234445192132677,12,"small_vessel_occlusion"
"MENT",0.161365507995777,-0.101194907600681,0.702096888676611,0.497030409714712,0.996260879005333,-5.93610787125788,0.00162692314545418,0.303617039099115,"Not significant","Q9BUN1",0.146709954099996,12,"small_vessel_occlusion"
"ANKS3",-0.385722915677966,0.375882039467494,-0.701493851771264,0.497392235648773,0.996260879005333,-5.91737168271457,0.00162692314545418,0.303300998401049,"Not significant","Q6ZW76",-0.408193377086094,12,"small_vessel_occlusion"
"POM121L1P",0.532212011144906,-0.189362416043878,0.701158059771729,0.497593782220615,0.996260879005333,-5.90627326527302,0.00162692314545418,0.303125055094062,"Not significant","Q3SYA9",1.08902639597654,12,"small_vessel_occlusion"
"TCF25",-0.400261419337107,0.044360122953852,-0.700608308308766,0.497923856874013,0.996260879005333,-5.94292606726451,0.00162692314545418,0.302837065006875,"Not significant","Q9BQ70",-0.406670636151518,12,"small_vessel_occlusion"
"CD80",-0.25321072267635,0.15661663779368,-0.700370006280287,0.498066976329851,0.996260879005333,-5.94309288468299,0.00162692314545418,0.302712252632546,"Not significant","P33681",-0.245844148844481,12,"small_vessel_occlusion"
"RFX5",0.248910251802354,-0.132587411373,0.700290861908409,0.498114514380675,0.996260879005333,-5.92577017925517,0.00162692314545418,0.302670803331667,"Not significant","P48382",0.319625310609782,12,"small_vessel_occlusion"
"ACRV1",0.324792682684691,0.279363749238352,0.69962904548864,0.498512141923539,0.996260879005333,-5.94190376377251,0.00162692314545418,0.302324259406137,"Not significant","P26436",0.334320517203638,12,"small_vessel_occlusion"
"RANBP1",0.488740430186744,0.301666900981218,0.699349293453261,0.498680278238471,0.996260879005333,-5.94362623950559,0.00162692314545418,0.302177806880029,"Not significant","P43487",0.497291925922036,12,"small_vessel_occlusion"
"IRGQ",-0.117011231134327,-0.0258486945337305,-0.69904601669774,0.498862592156732,0.996260879005333,-5.85196200818113,0.00162692314545418,0.30201906096162,"Not significant","Q8WZA9",0.067319993541709,12,"small_vessel_occlusion"
"LYSMD3",-0.317531716862566,-0.142190218592683,-0.698906188429955,0.498946663096379,0.996260879005333,-5.9385710497991,0.00162692314545418,0.301945877544907,"Not significant","Q7Z3D4",-0.291563322075776,12,"small_vessel_occlusion"
"TRAF2",0.320881791158761,0.103850624834498,0.69881387169676,0.499002172701022,0.996260879005333,-5.93276666964046,0.00162692314545418,0.301897563414665,"Not significant","Q12933",0.423004885869367,12,"small_vessel_occlusion"
"CD8A",-0.131531167423749,0.278909650010367,-0.698801943150621,0.49900934555082,0.996260879005333,-5.87715611265965,0.00162692314545418,0.301891320743053,"Not significant","P01732",-0.0707888265805585,12,"small_vessel_occlusion"
"ARHGAP10",-0.380704151534614,0.500660752334322,-0.698094697632146,0.499434736582028,0.996260879005333,-5.88121876402623,0.00162692314545418,0.301521254973744,"Not significant","A1A4S6",-0.623262419737875,12,"small_vessel_occlusion"
"SDC4",-0.225865028474687,-0.259691807130973,-0.697816939409356,0.499601861411178,0.996260879005333,-5.88556058901644,0.00162692314545418,0.301375952205234,"Not significant","P31431",0.00606489947863986,12,"small_vessel_occlusion"
