"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"MAX",-0.0664885778569963,-0.0261085523671643,-0.706465657082286,0.480940024222122,0.863884399014334,-5.46487490168617,0.0635443688974011,0.317909079080268,"Not significant","P61244",-0.0897289890927621,167,"all_groups_holistic"
"ING2",0.142344793600096,-0.0707765233083935,0.706240089753482,0.481079877247005,0.863884399014334,-5.4550979368794,0.0635443688974011,0.317782808517009,"Not significant","Q9H160",0.304215965173392,167,"all_groups_holistic"
"IFT172",0.0417557143868344,-0.0798579755345147,0.705888041391558,0.481298193894322,0.863884399014334,-5.4494627703721,0.0635443688974011,0.317585768040492,"Not significant","Q9UG01",0.0556707491605805,167,"all_groups_holistic"
"MDGA1",-0.084621989713584,0.0173981777548478,-0.705697772217877,0.481416208661431,0.863884399014334,-5.4675223817226,0.0635443688974011,0.317479291681025,"Not significant","Q8NFP4",-0.0651892260531038,167,"all_groups_holistic"
"GPX4",0.0797480580234085,0.0334949916741716,0.705548165162278,0.481509013847547,0.863884399014334,-5.45696273789591,0.0635443688974011,0.317395578471723,"Not significant","P36969",0.0800928995816314,167,"all_groups_holistic"
"DENR",0.113556186404826,0.173488932985166,0.705282049819972,0.481674116471219,0.863884399014334,-5.46217497944381,0.0635443688974011,0.317246690566913,"Not significant","O43583",0.142570071239079,167,"all_groups_holistic"
"HOATZ",-0.106964386991913,0.0632666839875035,-0.704951469125212,0.481879257826725,0.863884399014334,-5.45717991356631,0.0635443688974011,0.317061767214603,"Not significant","Q6PI97",-0.00648576107036612,167,"all_groups_holistic"
"ANKRD20A4P",-0.0825947168653162,0.307797844399012,-0.704714072936913,0.482026603266314,0.863884399014334,-5.45524802158722,0.0635443688974011,0.316928992190758,"Not significant","Q4UJ75",-0.204105023006375,167,"all_groups_holistic"
"WHAMM",-0.112851165579896,-0.00123306728751694,-0.704565313810131,0.482118946666075,0.863884399014334,-5.46152808595072,0.0635443688974011,0.31684580095665,"Not significant","Q8TF30",-0.105913904853853,167,"all_groups_holistic"
"VPS4B",0.119242418006721,0.0778808408154699,0.704400779942028,0.482221093669654,0.863884399014334,-5.46977887119692,0.0635443688974011,0.316753796314496,"Not significant","O75351",0.0876269980853585,167,"all_groups_holistic"
"SPN",0.0809204215389959,0.205337841013547,0.7039973164617,0.482471624802383,0.863884399014334,-5.45144824289015,0.0635443688974011,0.316528223364992,"Not significant","P16150",0.133805915354223,167,"all_groups_holistic"
"SEMA4D",0.0609135339104066,-0.0277703222790789,0.703928373580586,0.482514442110224,0.863884399014334,-5.47355551445797,0.0635443688974011,0.316489683284104,"Not significant","Q92854",0.0997994027531189,167,"all_groups_holistic"
"C1R",-0.0242311964587848,0.0225902114111078,-0.70348037593935,0.482792723980204,0.863884399014334,-5.44632983350895,0.0635443688974011,0.316239283643161,"Not significant","P00736",-0.0143295988803604,167,"all_groups_holistic"
"C2orf69",-0.112823494092339,-0.0585036318816111,-0.703462104051018,0.482804075763312,0.863884399014334,-5.44099339659342,0.0635443688974011,0.316229072306991,"Not significant","Q8N8R5",-0.040518242083435,167,"all_groups_holistic"
"ANKRD34C",-0.129927005135019,0.0767681840584128,-0.703386206499448,0.482851230231216,0.863884399014334,-5.47416778165386,0.0635443688974011,0.316186657741261,"Not significant","P0C6C1",-0.0748843750596836,167,"all_groups_holistic"
"COL2A1",-0.128758353438332,-0.188551032929653,-0.703093274604673,0.48303324987182,0.863884399014334,-5.46563591036577,0.0635443688974011,0.316022973308854,"Not significant","P02458",0.040029916452211,167,"all_groups_holistic"
"RBM17",0.100193352795131,-0.000192511581375213,0.7029156811578,0.48314361975894,0.863884399014334,-5.46177782404791,0.0635443688974011,0.315923751241633,"Not significant","Q96I25",0.0356710097568716,167,"all_groups_holistic"
"CEP350",0.0703194662893021,0.0271808293210287,0.702084614150221,0.483660290789879,0.864383860619955,-5.46422307549702,0.0632933506609981,0.315459567353651,"Not significant","Q5VT06",0.0417678966795249,167,"all_groups_holistic"
"MAGEB3",-0.0552568732673977,0.0591377062711887,-0.701844937382483,0.483809353088233,0.864383860619955,-5.47122995023488,0.0632933506609981,0.315325740035023,"Not significant","O15480",-0.128344221311911,167,"all_groups_holistic"
"MAPT",0.246935555865108,-0.756102892474695,0.701529897067346,0.484005324542944,0.864383860619955,-5.46227510932311,0.0632933506609981,0.315149860655381,"Not significant","P10636",0.130188242100702,167,"all_groups_holistic"
"EIF2B5",0.166704639818797,-0.462956835961243,0.701439850981983,0.484061345875244,0.864383860619955,-5.44649439801379,0.0632933506609981,0.315099596027422,"Not significant","Q13144",0.0465807136980952,167,"all_groups_holistic"
"FRMPD1",0.154532516750419,-0.0271244964891387,0.701121371869766,0.484259513164336,0.864452710381688,-5.45432355384894,0.0632587596856351,0.314921838912011,"Not significant","Q5SYB0",-0.0217249521853976,167,"all_groups_holistic"
"ECI2",-0.0653815883391206,0.000896804413931099,-0.699886877789871,0.485028072018099,0.865329948792247,-5.45784358540862,0.0628182652319998,0.314233124965273,"Not significant","O75521",-0.0794017226370778,167,"all_groups_holistic"
"NFKB1",0.103237234365645,-0.0614085165995681,0.699818789885764,0.485070480896097,0.865329948792247,-5.47292327209388,0.0628182652319998,0.314195153685645,"Not significant","P19838",0.167210577909227,167,"all_groups_holistic"
"CASP9",-0.0530541196209959,0.0115552647443611,-0.698730083346596,0.48574886229437,0.865703011634115,-5.45687563018264,0.0626310716431558,0.313588207917795,"Not significant","P55211",0.00773818030773727,167,"all_groups_holistic"
"NFKBIB",-0.0417650587962069,0.00675834528962429,-0.698406124385286,0.485950823613253,0.865703011634115,-5.46180127766275,0.0626310716431558,0.313407677474318,"Not significant","Q15653",-0.0645065687497356,167,"all_groups_holistic"
"OPTC",0.0556955941433607,0.0133132737208002,0.698269511560197,0.486036004028533,0.865703011634115,-5.46558842077637,0.0626310716431558,0.313331558367834,"Not significant","Q9UBM4",0.1123591302653,167,"all_groups_holistic"
"TRIP10",0.0753006327676437,-0.0880948005092169,0.698075389251999,0.48615705660485,0.865703011634115,-5.45133659857669,0.0626310716431558,0.313223406050532,"Not significant","Q15642",-0.00317085212333516,167,"all_groups_holistic"
"MED21",-0.112334236048177,-0.306774284818885,-0.697992353221109,0.486208842003403,0.865703011634115,-5.43640054440156,0.0626310716431558,0.313177147511667,"Not significant","Q13503",-0.161003857846365,167,"all_groups_holistic"
"ADAMTSL4",0.0691089598888583,0.113379951144017,0.697944549589371,0.486238656091391,0.865703011634115,-5.45515929054775,0.0626310716431558,0.313150517603264,"Not significant","Q6UY14",0.0946846638103215,167,"all_groups_holistic"
"SCARA5",0.0383776002919702,-0.0177777463376444,0.697158409595309,0.486729097677208,0.866291420644022,-5.45787500144872,0.0623359866345971,0.312712689953518,"Not significant","Q6ZMJ2",0.0575834574172032,167,"all_groups_holistic"
"RASEF",0.178943187531354,-0.666381494069617,0.696664609301297,0.487037298049352,0.866535427462537,-5.45616889355819,0.0622136768774,0.312437778586686,"Not significant","Q8IZ41",0.27698794710635,167,"all_groups_holistic"
"LAMP1",0.0490185805897026,-0.0292146676254855,0.695775065147026,0.48759276630018,0.866535427462537,-5.45961548527931,0.0622136768774,0.31194274599709,"Not significant","P11279",0.0204113902647216,167,"all_groups_holistic"
"STK4",-0.11259163553864,0.271595050607289,-0.695734473318739,0.487618121753619,0.866535427462537,-5.45728304954577,0.0622136768774,0.311920162710435,"Not significant","Q13043",-0.235462009869495,167,"all_groups_holistic"
"IRF3",0.112488009130159,0.0519658906669718,0.69546242573698,0.48778807326086,0.866535427462537,-5.48141775969991,0.0622136768774,0.311768822678128,"Not significant","Q14653",0.102587848887252,167,"all_groups_holistic"
"DOC2B",0.0962785368258529,-0.198067274669598,0.69545069161641,0.487795404437735,0.866535427462537,-5.46467882238591,0.0622136768774,0.311762295528508,"Not significant","Q14184",0.0648702292053292,167,"all_groups_holistic"
"PMS2P3",0.0536029119313328,-0.023673784539862,0.695388484925662,0.48783427058144,0.866535427462537,-5.46693834514498,0.0622136768774,0.31172769356388,"Not significant","Q13401",0.0643028620118893,167,"all_groups_holistic"
"TDRD3",0.0854535795822617,0.00743172982190722,0.695145402907581,0.487986162068083,0.866535427462537,-5.48126765331216,0.0622136768774,0.311592493207702,"Not significant","Q9H7E2",0.0888491859028998,167,"all_groups_holistic"
"MYL6B",-0.113702242916071,-0.11069792919809,-0.694858690109038,0.488165349650837,0.866569496463105,-5.44862585430627,0.0621966023440022,0.311433050378683,"Not significant","P14649",-0.399201883246782,167,"all_groups_holistic"
